,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
3390,78.47.182.42,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-24T02:55:39Z,,,Heodo;
3391,139.59.19.157,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-19T02:55:32Z,,,Heodo;
3392,203.99.187.137,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-12T02:55:51Z,,,Heodo;
3393,185.183.159.100,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-19T21:00:51Z,,,2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;
3394,181.39.166.254,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-22T02:56:26Z,,,Heodo;
3395,115.94.207.99,Address,abuse.ch Feodo Tracker,3.0,17,2020-10-22T02:55:16Z,,,2021-01-26;Heodo;
3396,177.144.130.105,Address,abuse.ch Feodo Tracker,3.0,5,2019-12-19T02:55:09Z,,,Heodo;
3397,186.15.83.52,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-20T02:55:52Z,,,Heodo;
3398,78.101.224.151,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-29T02:55:14Z,,,Heodo;
3399,212.80.219.63,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-22T02:55:12Z,,,TrickBot;
3400,204.63.252.182,Address,abuse.ch Feodo Tracker,3.0,5,2019-12-10T02:55:13Z,,,Heodo;
3401,195.123.241.204,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:19Z,,,TrickBot;
3402,103.253.145.28,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-21T06:00:31Z,,,2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3403,37.220.6.115,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-11T02:55:14Z,,,TrickBot;
3404,89.216.23.167,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-13T02:55:55Z,,,Heodo;
